profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
BulutCeren_Kaya,72.0,9.0,16.0,20.0,ankara,Ankara
hayalleriminmutfagi,64.0,32.0,151.0,7.0,i̇stanbul,İstanbul
Reyhan_Guler8,63.0,25.0,51.0,107.0,bursa,Bursa
dnndmaks,72.0,73.0,57.0,19.0,ankara,Ankara
nuuran,62.0,45.0,236.0,1.0,yalova,Yalova
Mihriban_Balci,119.0,5.0,6.0,7.0,i̇stanbul,İstanbul
kandelamin,136.0,33.0,28.0,18.0,i̇stanbul,İstanbul
esma2391,74.0,12.0,14.0,23.0,i̇zmi̇r,İzmir
censev,98.0,15.0,26.0,11.0,ankara,Ankara
cerenbengi,62.0,1.0,1.0,1.0,i̇zmi̇r,İzmir
aysecuisine,63.0,9.0,2.0,6.0,ni̇ğde,Niğde
Kebapci_ErsanUsta,67.0,13.0,0.0,1.0,konya,Konya
bbusraamertt,94.0,39.0,20.0,12.0,ankara,Ankara
Gizem_ZanPekistiren,87.0,24.0,35.0,9.0,edi̇rne,Edirne
TCPerin_EskinGok,127.0,43.0,28.0,12.0,balikesi̇r,Balıkesir
lezzetd1,63.0,36.0,93.0,90.0,i̇stanbul,İstanbul
aysegulcelezzetlerr,63.0,10.0,4.0,9.0,i̇stanbul,İstanbul
Zumrut_Anka3,64.0,1.0,20.0,53.0,kahramanmaraş,Kahramanmaraş
esmayldz,131.0,21.0,27.0,10.0,sakarya,Sakarya
BURC12,126.0,15.0,96.0,10.0,i̇zmi̇r,İzmir
gulaydgn,119.0,26.0,41.0,38.0,yozgat,Yozgat
elvantosun,68.0,1.0,1.0,4.0,bi̇tli̇s,Bitlis
aysegulyilmaz2301,70.0,70.0,68.0,37.0,erzurum,Erzurum
ates44,79.0,21.0,24.0,0.0,i̇stanbul,İstanbul
nzmy68,65.0,50.0,37.0,0.0,ankara,Ankara
Meryem_Soysal8,66.0,32.0,44.0,28.0,i̇stanbul,İstanbul
aydingamze,76.0,36.0,20.0,14.0,trabzon,Trabzon
Cigdem_Cunkur,101.0,46.0,187.0,247.0,hatay,Hatay
gumbhill,67.0,42.0,108.0,0.0,i̇stanbul,İstanbul
Halil_Comruk,65.0,5.0,10.0,8.0,kahramanmaraş,Kahramanmaraş
Merve_Ozturk9,124.0,16.0,18.0,9.0,i̇stanbul,İstanbul
Mehmet_Baslikaya,69.0,16.0,13.0,2.0,kahramanmaraş,Kahramanmaraş
Nurgul_Canakci2,67.0,13.0,20.0,8.0,i̇zmi̇r,İzmir
Bahar_ALkan,138.0,28.0,16.0,15.0,hatay,Hatay
Yasemin_Candan2,120.0,45.0,31.0,29.0,amasya,Amasya
baharsen1981,78.0,42.0,105.0,5.0,i̇stanbul,İstanbul
ElifMusa_Kilic,106.0,312.0,2785.0,33.0,bursa,Bursa
Havva_Gunver,77.0,147.0,351.0,1.0,i̇stanbul,İstanbul
nurseherim,111.0,24.0,33.0,71.0,mardi̇n,Mardin
fahriyegundogar7308,67.0,46.0,129.0,189.0,konya,Konya
bonuskaya,83.0,50.0,85.0,18.0,aksaray,Aksaray
Gulay_Cakmak,117.0,71.0,141.0,48.0,ankara,Ankara
melikeogul,69.0,18.0,162.0,3.0,kocaeli,Kocaeli
aydibituttu,67.0,11.0,28.0,9.0,gazi̇antep,Gaziantep
zeynebdemiir,107.0,5.0,2.0,0.0,ankara,Ankara
Suziiko,101.0,31.0,72.0,27.0,kayseri̇,Kayseri
lezzetliyemeklerim,67.0,14.0,70.0,32.0,ri̇ze,Rize
Sinem_Gundag,80.0,32.0,14.0,0.0,balikesi̇r,Balıkesir
kiymetuyan,87.0,31.0,42.0,27.0,i̇zmi̇r,İzmir
HalimeBilir,114.0,73.0,60.0,0.0,ankara,Ankara
nesliss,119.0,25.0,11.0,2.0,amasya,Amasya
haticeozdogannn,71.0,19.0,24.0,2.0,mersi̇n,Mersin
ButikHan,108.0,41.0,145.0,190.0,balikesi̇r,Balıkesir
iremnur29,112.0,8.0,19.0,4.0,kocaeli̇,Kocaeli
Hatice_Ozbas2,118.0,16.0,16.0,51.0,i̇stanbul,İstanbul
kalypso77,84.0,65.0,116.0,131.0,amasya,Amasya
Nur_Satici,80.0,14.0,20.0,2.0,gazi̇antep,Gaziantep
Tuncay_Kundakcioglu,69.0,4.0,5.0,2.0,teki̇rdağ,Tekirdağ
dilhuizm,72.0,24.0,33.0,5.0,gazi̇antep,Gaziantep
busrayk,91.0,6.0,13.0,15.0,antalya,Antalya
whiteocean,127.0,63.0,170.0,3.0,i̇stanbul,İstanbul
gulmhtr,72.0,6.0,19.0,14.0,i̇zmi̇r,İzmir
Nur_Ctin,73.0,11.0,22.0,11.0,kocaeli̇,Kocaeli
Sinem_Altinbas,70.0,11.0,23.0,12.0,gazi̇antep,Gaziantep
yurdayurda,72.0,10.0,5.0,1.0,i̇stanbul,İstanbul
Hatice_Avsar2,119.0,21.0,28.0,0.0,i̇stanbul,İstanbul
ozlemkuzhan,122.0,34.0,29.0,10.0,osmani̇ye,Osmaniye
kbraylmz74,87.0,3.0,4.0,4.0,bartin,Bartın
mavislerinannesi,72.0,21.0,44.0,45.0,konya,Konya
elfknk,135.0,7.0,8.0,5.0,i̇stanbul,İstanbul
busra-klc38,79.0,133.0,442.0,93.0,kayseri̇,Kayseri
ahsenmutfakta,113.0,30.0,43.0,7.0,antalya,Antalya
Hacer_Sahin30,86.0,15.0,31.0,18.0,ankara,Ankara
mervednr,90.0,35.0,33.0,26.0,balikesi̇r,Balıkesir
Zeynep_Sariyer,112.0,64.0,36.0,8.0,bursa,Bursa
g-eceeeee,114.0,121.0,597.0,5.0,ankara,Ankara
arinna-s,88.0,15.0,121.0,10.0,i̇zmi̇r,İzmir
duysaksena,78.0,57.0,79.0,0.0,konya,Konya
meryem6946,72.0,115.0,111.0,1.0,i̇stanbul,İstanbul
sevgikrkt,81.0,6.0,9.0,4.0,gazi̇antep,Gaziantep
Hasanin_Hatunu,74.0,16.0,40.0,49.0,konya,Konya
NesLi_ErgunNar,137.0,8.0,18.0,15.0,i̇stanbul,İstanbul
demirkoldenizzz,72.0,21.0,19.0,3.0,i̇stanbul,İstanbul
neshanim,92.0,144.0,167.0,214.0,kirklareli̇,Kırklareli
gurhan48,89.0,19.0,60.0,25.0,muğla,Muğla
busra811,84.0,5.0,5.0,4.0,i̇stanbul,İstanbul
Aygul_Filiz,123.0,33.0,45.0,68.0,yalova,Yalova
Suleyman_AlminYesil,111.0,5.0,10.0,15.0,teki̇rdağ,Tekirdağ
Kader_Deniz17,83.0,221.0,1062.0,16.0,gazi̇antep,Gaziantep
Binnur_Tan,116.0,27.0,36.0,6.0,mani̇sa,Manisa
lerzangursoy,74.0,14.0,15.0,4.0,ordu,Ordu
gulser-azra,112.0,126.0,200.0,26.0,antalya,Antalya
pelin8543,99.0,12.0,7.0,2.0,hakkari̇,Hakkari
Zehra_Islam2,74.0,11.0,15.0,3.0,i̇stanbul,İstanbul
mysbilir,88.0,1.0,2.0,4.0,konya,Konya
seda091006,75.0,68.0,30.0,6.0,i̇stanbul,İstanbul
kubrayuxel,110.0,90.0,270.0,203.0,isparta,Isparta
sibelcicek1,67.0,89.0,147.0,5.0,i̇stanbul,İstanbul
the_moonmi,44.0,8.0,3.0,2.0,bolu,Bolu
ouzun1,130.0,7.0,11.0,8.0,eski̇şehi̇r,Eskişehir
Eda_Aydn_,117.0,108.0,103.0,0.0,antalya,Antalya
suleveera,49.0,6.0,12.0,2.0,kocaeli,Kocaeli
millibi,5.0,63.0,39.0,1.0,ankara,Ankara
sumeyyesahin_4326,3.0,34.0,24.0,6.0,yozgat,Yozgat
elifyagizs,4.0,8.0,8.0,9.0,erzurum,Erzurum
feride0167,116.0,3.0,7.0,9.0,şirnak,Şırnak
iremintariflerii,62.0,7.0,3.0,2.0,i̇zmi̇r,İzmir
Banu_Duser,62.0,24.0,17.0,3.0,antalya,Antalya
semaarslan79,106.0,116.0,175.0,9.0,bursa,Bursa
edatncr05,76.0,24.0,20.0,7.0,samsun,Samsun
Sedagul_Tokoz,79.0,23.0,14.0,1.0,adana,Adana
faylin,87.0,302.0,330.0,1.0,i̇stanbul,İstanbul
nytuser_fatmatudes_3616,15.0,10.0,9.0,1.0,erzurum,Erzurum
ozlem_y,9.0,56.0,28.0,6.0,bursa,Bursa
imrang,30.0,20.0,43.0,15.0,i̇stanbul,İstanbul
Nazli_Ozcoban,125.0,8.0,29.0,51.0,i̇zmi̇r,İzmir
mervicet,27.0,1.0,1.0,0.0,i̇zmi̇r,İzmir
scdgk_svcn,15.0,65.0,87.0,3.0,kayseri,Kayseri
mavininhatunu,90.0,48.0,53.0,18.0,adana,Adana
Izem_Armagan,104.0,149.0,3220.0,111.0,i̇stanbul,İstanbul
sarilidunya,12.0,35.0,95.0,7.0,konya,Konya
Mislina_3347,37.0,10.0,14.0,1.0,mersi̇n,Mersin
Yelda_Ocak,86.0,2.0,0.0,2.0,hatay,Hatay
Gulnur_Ayturk,108.0,40.0,48.0,4.0,çanakkale,Çanakkale
nytuser_merveunlu_6462,24.0,9.0,14.0,34.0,eski̇şehi̇r,Eskişehir
hilalkkk,66.0,14.0,18.0,2.0,i̇stanbul,İstanbul
nytuser_baraninkanali_7541,22.0,2.0,2.0,2.0,i̇zmi̇r,İzmir
eminebilgin_4289,32.0,35.0,31.0,14.0,gazi̇antep,Gaziantep
yemektariflerimutfagi,19.0,45.0,20.0,0.0,nevşehi̇r,Nevşehir
Mujgan_KaracaAvdan,87.0,16.0,28.0,19.0,eski̇şehi̇r,Eskişehir
nytuser_pelinsozen_6124,20.0,9.0,7.0,0.0,samsun,Samsun
eceminannesi,61.0,53.0,49.0,50.0,teki̇rdağ,Tekirdağ
yasemineryilmaz,52.0,58.0,409.0,277.0,bursa,Bursa
tekaskim,124.0,6.0,2.0,4.0,amasya,Amasya
beste-saratli-2991,51.0,20.0,16.0,2.0,ankara,Ankara
Ipek_Ozer,129.0,219.0,833.0,8.0,ankara,Ankara
panemic,114.0,20.0,26.0,18.0,i̇stanbul,İstanbul
nytuser_esinalemdar_6938,24.0,10.0,36.0,80.0,mani̇sa,Manisa
glycnl,67.0,38.0,34.0,0.0,i̇zmi̇r,İzmir
sevcannmutfagi,55.0,62.0,279.0,1.0,i̇stanbul,İstanbul
Hande_Sen6,87.0,70.0,624.0,6537.0,si̇nop,Sinop
imgenin_tarifleri,23.0,31.0,29.0,15.0,i̇stanbul,İstanbul
diyetisyenayseebruuyankulc4237,66.0,21.0,178.0,26.0,konya,Konya
Pellooo,19.0,17.0,23.0,3.0,bursa,Bursa
Esra_Unlu10,114.0,26.0,31.0,15.0,ankara,Ankara
seherayk,20.0,3.0,2.0,2.0,batman,Batman
ugurlumutfak,104.0,8.0,7.0,6.0,çanakkale,Çanakkale
Caglar_Caglar6,60.0,5.0,7.0,4.0,ankara,Ankara
Bereketli_Sofralar,91.0,55.0,277.0,27.0,i̇stanbul,İstanbul
Gulizar_Kizilkaya,96.0,33.0,58.0,0.0,i̇stanbul,İstanbul
birhataymutfagi,31.0,7.0,4.0,1.0,i̇stanbul,İstanbul
haticepulataydin6152,43.0,4.0,13.0,13.0,i̇stanbul,İstanbul
nytuser_iremikbal_9866,20.0,2.0,1.0,1.0,mani̇sa,Manisa
rabiafani,116.0,186.0,307.0,108.0,ankara,Ankara
burcu_1992,34.0,93.0,229.0,6.0,i̇stanbul,İstanbul
beyza2223,67.0,13.0,11.0,0.0,konya,Konya
yaqmuryurekl,90.0,8.0,31.0,0.0,ankara,Ankara
pnr87,118.0,64.0,67.0,53.0,kocaeli̇,Kocaeli
aytenkaradeniz14,120.0,19.0,14.0,2.0,mani̇sa,Manisa
Burcu_Altas2,109.0,50.0,112.0,1.0,bursa,Bursa
krlice,68.0,19.0,11.0,0.0,uşak,Uşak
aybukearisu,45.0,21.0,25.0,17.0,isparta,Isparta
aycakel,84.0,33.0,40.0,18.0,bursa,Bursa
88hlya,108.0,9.0,5.0,0.0,trabzon,Trabzon
kubrasimavtokgoz5778,91.0,2.0,98.0,8.0,burdur,Burdur
Sinem_Ezelhan,135.0,31.0,24.0,11.0,kars,Kars
Gokce_Karaaslan,103.0,10.0,8.0,0.0,i̇stanbul,İstanbul
nurkayaoglu_0893,31.0,3.0,3.0,4.0,ankara,Ankara
Nuray_Ates8,84.0,32.0,39.0,32.0,bursa,Bursa
goog_24d9fd378175,36.0,30.0,115.0,69.0,di̇yarbakir,Diyarbakır
zeynep1a,112.0,28.0,82.0,86.0,kahramanmaraş,Kahramanmaraş
tarifdefterim26,57.0,91.0,865.0,26.0,eski̇şehi̇r,Eskişehir
Ipek_Ozbalaban,120.0,247.0,123.0,41.0,ankara,Ankara
berraaycibin,58.0,17.0,145.0,16.0,i̇stanbul,İstanbul
fresasmiel,41.0,15.0,12.0,9.0,i̇zmi̇r,İzmir
Ela_Kpc,58.0,10.0,8.0,3.0,konya,Konya
zeynepyavuzcan,32.0,36.0,43.0,3.0,i̇zmi̇r,İzmir
Nergis9920,38.0,10.0,21.0,7.0,antalya,Antalya
Esra_Akbulut4,119.0,15.0,76.0,330.0,i̇stanbul,İstanbul
MeteBuket_Goktas,120.0,6.0,32.0,2.0,i̇zmi̇r,İzmir
bysinemskitchen,32.0,15.0,75.0,1.0,i̇stanbul,İstanbul
Emine_Yalcin,145.0,15.0,14.0,13.0,i̇stanbul,İstanbul
senyemekler,38.0,16.0,87.0,64.0,i̇stanbul,İstanbul
zubeydeylmz,117.0,40.0,56.0,15.0,i̇stanbul,İstanbul
goog_3567841e913c,33.0,28.0,19.0,2.0,i̇stanbul,İstanbul
curieuse,77.0,3.0,0.0,1.0,i̇stanbul,İstanbul
yildizbnc,46.0,1.0,5.0,4.0,ankara,Ankara
zhrsbk,114.0,42.0,80.0,92.0,afyon,Afyon
gulcanarslnn,36.0,7.0,13.0,7.0,kütahya,Kütahya
mmervekaya,58.0,2.0,5.0,16.0,hatay,Hatay
zuhalkeklik,87.0,18.0,10.0,2.0,mersi̇n,Mersin
palaceren312,62.0,52.0,33.0,3.0,bursa,Bursa
goog_c1fb4aef57b8,40.0,1.0,38.0,139.0,van,Van
kubraligunler,118.0,100.0,162.0,7.0,si̇vas,Sivas
eminehafizenur,97.0,31.0,128.0,239.0,i̇zmi̇r,İzmir
sevginureser1708,40.0,15.0,38.0,5.0,kayseri̇,Kayseri
ahmet1391,67.0,13.0,14.0,1.0,mersi̇n,Mersin
Nurgul_Altiok,75.0,11.0,12.0,4.0,trabzon,Trabzon
Hatice_Kucuk2,126.0,5.0,9.0,10.0,i̇stanbul,İstanbul
aysenuryusuf,112.0,5.0,3.0,6.0,sakarya,Sakarya
muserrefgezgin,40.0,14.0,20.0,10.0,i̇zmi̇r,İzmir
nytuser_aydanurkoksal_6292,48.0,12.0,17.0,2.0,ordu,Ordu
Sahra_Akdag,41.0,6.0,9.0,4.0,muğla,Muğla
Burcu_AktasGunay,78.0,86.0,81.0,2.0,samsun,Samsun
gultenincel5555,88.0,2.0,30.0,65.0,i̇stanbul,İstanbul
aysenes4281,69.0,23.0,33.0,31.0,ankara,Ankara
Oslemme,131.0,288.0,5241.0,5.0,i̇stanbul,İstanbul
Nagehan_Soysal,124.0,38.0,30.0,10.0,aydin,Aydın
ElifSukru_Gun,104.0,5.0,11.0,2.0,uşak,Uşak
KubraNur_Cakmak,127.0,12.0,21.0,39.0,i̇stanbul,İstanbul
elvantugrul4000,49.0,27.0,22.0,9.0,antalya,Antalya
yemekcukuru,42.0,23.0,5.0,0.0,hatay,Hatay
Zeynep_Tas33,59.0,3.0,6.0,2.0,si̇nop,Sinop
zahidegonder,96.0,37.0,71.0,13.0,gi̇resun,Giresun
Fatma_Sumer2,115.0,19.0,8.0,0.0,hatay,Hatay
Rabia_Aydogdu6,61.0,8.0,2.0,7.0,ankara,Ankara
rcali,62.0,25.0,102.0,15.0,ankara,Ankara
ilaydaogretmen33,49.0,4.0,4.0,2.0,hatay,Hatay
gulege35,81.0,43.0,30.0,18.0,i̇zmi̇r,İzmir
nytuser_cidemce_5882,49.0,2.0,0.0,1.0,erzurum,Erzurum
seyyahsef,55.0,45.0,9.0,2.0,i̇stanbul,İstanbul
asliakinci3144,52.0,11.0,40.0,5.0,i̇stanbul,İstanbul
derine,114.0,6.0,22.0,44.0,i̇stanbul,İstanbul
Ozge_Arslan,149.0,8.0,7.0,9.0,bursa,Bursa
esra-abas-9475,44.0,6.0,0.0,0.0,iğdir,Iğdır
Aysun_Ibrahimoglu,124.0,14.0,35.0,22.0,teki̇rdağ,Tekirdağ
TCBirgul_Tiryaki,142.0,79.0,144.0,9.0,uşak,Uşak
Ecrin_Yildiz10,71.0,54.0,63.0,2.0,ni̇ğde,Niğde
Canan_Kacar3,100.0,45.0,31.0,4.0,i̇zmi̇r,İzmir
cagla-celik-6015,49.0,8.0,7.0,8.0,adana,Adana
Metin_Shepherd,81.0,231.0,1472.0,50.0,i̇stanbul,İstanbul
seheratess,68.0,5.0,0.0,0.0,konya,Konya
emine-eda-armina,108.0,73.0,43.0,23.0,kayseri̇,Kayseri
ElifErim26,46.0,42.0,72.0,47.0,eski̇şehi̇r,Eskişehir
dileklelezzetlermutfagi,54.0,73.0,62.0,0.0,i̇stanbul,İstanbul
karanmutfakta,48.0,7.0,45.0,110.0,i̇stanbul,İstanbul
aslikaba,84.0,13.0,12.0,10.0,kayseri̇,Kayseri
fatmafatih-27,49.0,17.0,15.0,17.0,gazi̇antep,Gaziantep
drdry,60.0,4.0,0.0,4.0,çorum,Çorum
brckc,85.0,43.0,32.0,13.0,i̇zmi̇r,İzmir
Ozq3n,125.0,27.0,126.0,18.0,bursa,Bursa
Gizem_Ustunbas,50.0,1.0,0.0,0.0,malatya,Malatya
Arzu_celik3,133.0,124.0,664.0,8.0,i̇stanbul,İstanbul
Ceht_Caldir,110.0,24.0,27.0,24.0,konya,Konya
bahar-y-ld-ran,120.0,37.0,39.0,49.0,balikesi̇r,Balıkesir
aycnaba,87.0,12.0,21.0,18.0,gazi̇antep,Gaziantep
kbrky348,75.0,59.0,51.0,24.0,i̇stanbul,İstanbul
nisa240278,114.0,49.0,247.0,47.0,antalya,Antalya
mavinci,117.0,115.0,962.0,13.0,i̇stanbul,İstanbul
HaticeKiymet_Aydin,120.0,43.0,150.0,221.0,ankara,Ankara
gulcanyasir06,96.0,31.0,38.0,7.0,ankara,Ankara
Asuman_Ozel3,100.0,14.0,57.0,10.0,ordu,Ordu
HulyaAras_Taner,131.0,9.0,41.0,90.0,kirklareli̇,Kırklareli
diyetisyenebruaytekin,52.0,7.0,26.0,0.0,i̇zmi̇r,İzmir
goog_c1c0547cef67,51.0,1.0,0.0,0.0,i̇stanbul,İstanbul
lefleur,56.0,6.0,1.0,0.0,i̇stanbul,İstanbul
Yeter_YilmazOzfirat,110.0,28.0,56.0,69.0,i̇stanbul,İstanbul
umranaydiinn,59.0,27.0,229.0,4.0,teki̇rdağ,Tekirdağ
latifeninmutfagi,54.0,53.0,438.0,369.0,i̇stanbul,İstanbul
Ozge_Ulu3,113.0,17.0,8.0,5.0,i̇zmi̇r,İzmir
yeldatozlu9883,75.0,6.0,5.0,1.0,gi̇resun,Giresun
Yesim_Uslu7,82.0,2.0,3.0,5.0,bursa,Bursa
busraavci8093,64.0,2.0,3.0,0.0,bursa,Bursa
dilegimm,114.0,13.0,8.0,7.0,trabzon,Trabzon
muhteberyakut,54.0,20.0,145.0,132.0,teki̇rdağ,Tekirdağ
Merve_BeskardeslerKaracak,61.0,10.0,18.0,21.0,afyon,Afyon
gulsumerarslan,53.0,20.0,23.0,6.0,i̇stanbul,İstanbul
Aytekin_Ko,119.0,4.0,11.0,0.0,i̇zmi̇r,İzmir
hilalinspasyeli,58.0,6.0,8.0,10.0,i̇stanbul,İstanbul
kubrabaris01,52.0,25.0,29.0,1.0,i̇stanbul,İstanbul
Ersin_Firat,96.0,63.0,85.0,158.0,i̇stanbul,İstanbul
Zeynep_Busra13,64.0,2.0,4.0,2.0,antalya,Antalya
NeslihanMerve_AktasBulbul,73.0,19.0,8.0,2.0,kocaeli̇,Kocaeli
sinemasya1,56.0,41.0,189.0,7.0,kayseri̇,Kayseri
Hatice_BaskayaAydin,129.0,8.0,14.0,8.0,i̇stanbul,İstanbul
esila_merve42,53.0,10.0,7.0,5.0,konya,Konya
Sebnem_BenderAkyuz,71.0,63.0,37.0,12.0,bursa,Bursa
aleyynaaa1910_,52.0,4.0,35.0,19.0,ankara,Ankara
Dilek_Eslik,126.0,5.0,16.0,14.0,i̇zmi̇r,İzmir
Tuncer,137.0,27.0,67.0,0.0,balikesi̇r,Balıkesir
egunay,53.0,19.0,3.0,4.0,van,Van
aysunadmgl,75.0,6.0,1.0,2.0,ankara,Ankara
GuLsah_Turfan,123.0,44.0,87.0,28.0,erzurum,Erzurum
sefgizemsalmi,54.0,22.0,56.0,62.0,mersi̇n,Mersin
serife151119,63.0,20.0,8.0,5.0,muğla,Muğla
dilek-aydin-4276,53.0,9.0,2.0,1.0,düzce,Düzce
busekzltn,61.0,5.0,9.0,7.0,i̇stanbul,İstanbul
fyuksel824gmailcom,101.0,89.0,158.0,95.0,samsun,Samsun
sheskn,96.0,99.0,94.0,0.0,i̇stanbul,İstanbul
Feryal_Oksuzce,118.0,23.0,30.0,28.0,i̇zmi̇r,İzmir
seydaduru,82.0,8.0,7.0,8.0,kayseri̇,Kayseri
Busra_Eroglu15,65.0,10.0,12.0,15.0,i̇stanbul,İstanbul
caykeyfi,54.0,14.0,42.0,107.0,i̇stanbul,İstanbul
kubrasahin9,123.0,177.0,366.0,15.0,erzi̇ncan,Erzincan
Gamze_Erdal,124.0,29.0,89.0,182.0,kirklareli̇,Kırklareli
Rabia_Sariyaprak,60.0,3.0,0.0,2.0,i̇stanbul,İstanbul
Selen_Kiy,62.0,7.0,3.0,0.0,muğla,Muğla
Abdulkavi_Orhan,68.0,7.0,8.0,1.0,konya,Konya
polat1625,84.0,29.0,14.0,2.0,bursa,Bursa
Emine_Dogan72,91.0,11.0,6.0,11.0,ankara,Ankara
melikesoker,96.0,16.0,21.0,0.0,gazi̇antep,Gaziantep
HasanSeren_Peynirci,80.0,20.0,18.0,45.0,balikesi̇r,Balıkesir
hilalsayinn44,70.0,22.0,51.0,55.0,malatya,Malatya
Ssna_Topuz,101.0,18.0,44.0,6.0,çorum,Çorum
Fatih_Akkoca,110.0,4.0,4.0,0.0,si̇nop,Sinop
sevilayveysi,88.0,167.0,306.0,0.0,gazi̇antep,Gaziantep
Filiza5ka,67.0,42.0,150.0,316.0,i̇zmi̇r,İzmir
Emnekrt,122.0,5.0,47.0,178.0,antalya,Antalya
merve0157,98.0,17.0,37.0,42.0,bursa,Bursa
busakeser,63.0,2.0,5.0,1.0,ordu,Ordu
eliftultay,54.0,27.0,44.0,6.0,ankara,Ankara
Zuhal_Maden,130.0,47.0,65.0,8.0,ankara,Ankara
Ayse_GokatKaraoglan,136.0,5.0,12.0,1.0,uşak,Uşak
Elcin_Elitok,135.0,19.0,13.0,3.0,kirklareli̇,Kırklareli
Nur_Bozkurt6,111.0,6.0,8.0,0.0,burdur,Burdur
Duygu...,136.0,7.0,4.0,6.0,i̇stanbul,İstanbul
suletekeraydemir4598,54.0,37.0,24.0,4.0,mani̇sa,Manisa
SelinSabina_Orcan,60.0,77.0,55.0,1.0,antalya,Antalya
cuin,111.0,141.0,972.0,7.0,ankara,Ankara
Mehmet_Inceler2,83.0,31.0,67.0,79.0,bursa,Bursa
nursemint,84.0,29.0,91.0,78.0,samsun,Samsun
Murat_Tekin15,68.0,27.0,21.0,3.0,van,Van
Selen_Kaya8,103.0,23.0,59.0,39.0,mardi̇n,Mardin
Seda_CansizKartal,104.0,57.0,97.0,1.0,ankara,Ankara
busegztlk,101.0,19.0,121.0,378.0,i̇stanbul,İstanbul
bapoldeze,54.0,6.0,13.0,11.0,si̇nop,Sinop
Miyase_Demirci3,59.0,85.0,109.0,0.0,van,Van
sunumzamani58,54.0,17.0,46.0,27.0,si̇vas,Sivas
habibey,119.0,26.0,8.0,1.0,i̇stanbul,İstanbul
meryemkarademir9919,102.0,84.0,159.0,4.0,i̇stanbul,İstanbul
isnuke,104.0,21.0,29.0,3.0,i̇stanbul,İstanbul
senaakyoll,73.0,8.0,133.0,257.0,i̇stanbul,İstanbul
Betul_Yayar,57.0,9.0,9.0,6.0,tokat,Tokat
ozgeninelindenhersey,55.0,6.0,1.0,1.0,i̇stanbul,İstanbul
berryninmenusu,54.0,13.0,10.0,2.0,i̇stanbul,İstanbul
Nalan_Karslioglu,127.0,13.0,18.0,1.0,muğla,Muğla
ElifCansu_Cesur,95.0,14.0,19.0,9.0,i̇stanbul,İstanbul
Semanur_Sandalci,134.0,2.0,5.0,7.0,i̇stanbul,İstanbul
Kadir-aras,111.0,54.0,20.0,18.0,i̇stanbul,İstanbul
71karaca71,87.0,52.0,152.0,6.0,ankara,Ankara
ysmnylmz043,55.0,44.0,108.0,7.0,kütahya,Kütahya
elofbusra,64.0,6.0,8.0,4.0,kayseri̇,Kayseri
Glsmmct,112.0,6.0,1.0,2.0,kirklareli̇,Kırklareli
Ceylan__Deniz,112.0,220.0,414.0,3.0,di̇yarbakir,Diyarbakır
Elif_Donmez2,123.0,7.0,3.0,1.0,deni̇zli̇,Denizli
VuralDilara_Tur,117.0,20.0,13.0,14.0,i̇zmi̇r,İzmir
46seyma,66.0,15.0,24.0,30.0,i̇stanbul,İstanbul
canancy,105.0,39.0,28.0,23.0,antalya,Antalya
cemileazra,98.0,28.0,42.0,37.0,i̇zmi̇r,İzmir
feyzanur7,79.0,213.0,282.0,7.0,adana,Adana
serap6167,72.0,72.0,164.0,185.0,zonguldak,Zonguldak
minikseftatliparmaklar,60.0,19.0,20.0,7.0,i̇stanbul,İstanbul
defnemustafa,100.0,14.0,70.0,49.0,i̇zmi̇r,İzmir
ihsanpeksak,2.0,90.0,264.0,11.0,erzincan,Erzincan
rukiyeicigenler,1.0,21.0,39.0,4.0,eskişehir,Eskişehir
Bahar_Albayrak5,106.0,2.0,2.0,3.0,i̇stanbul,İstanbul
Gulcan_GoktasGiresunlu,42.0,2.0,3.0,4.0,i̇stanbul,İstanbul
bitarifle_secil_aydogan_yilmaz,4.0,36.0,131.0,0.0,bursa,Bursa
ranaertas,59.0,14.0,16.0,14.0,i̇stanbul,İstanbul
skbuse,68.0,1.0,2.0,3.0,erzurum,Erzurum
nur-kamis,51.0,3.0,3.0,1.0,mani̇sa,Manisa
bahar_deringunes_0311,49.0,15.0,21.0,10.0,i̇stanbul,İstanbul
Ozlem_Aslantas4,66.0,16.0,27.0,79.0,konya,Konya
Asli_Ozdil,78.0,1.0,1.0,0.0,kırklareli,Kırklareli
Gamze_Can15,89.0,10.0,26.0,22.0,i̇stanbul,İstanbul
nytuser_sultansenturk_7243,9.0,18.0,21.0,2.0,i̇stanbul,İstanbul
cemilenurarik2001,59.0,79.0,75.0,2.0,kütahya,Kütahya
nisayskitchen,59.0,2.0,8.0,4.0,hatay,Hatay
songul__akcay,17.0,34.0,79.0,7.0,ankara,Ankara
melikenurakkaya,5.0,15.0,6.0,5.0,muğla,Muğla
nytuser_nisaolcer_7911,19.0,13.0,22.0,0.0,çorum,Çorum
melikegullugunal8817,65.0,37.0,82.0,7.0,ardahan,Ardahan
Yagmur_Yaldiz,107.0,13.0,7.0,2.0,ankara,Ankara
nytuser_busragonullu_0450,8.0,6.0,3.0,5.0,şanliurfa,Şanlıurfa
nytuser_aylin_5908,17.0,7.0,9.0,4.0,ankara,Ankara
nurgulsimsek1988,20.0,174.0,52.0,2.0,ankara,Ankara
bilgebirbilge,24.0,16.0,8.0,8.0,ankara,Ankara
