profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
Ayse_Karaman2,121,39.0,78,78,hatay
poyorganiktarifler,68,22.0,80,6,i̇stanbul
zeynelsef,62,57.0,1321,50,ankara
hilal-miray,102,302.0,4435,33,yurtdişi
TubaGokhan_Senturk,121,24.0,46,1,gazi̇antep
Kamil_Kocbiyik,81,4.0,5,4,
meltemetem,96,21.0,39,24,i̇stanbul
zeynepberen44,108,6.0,7,8,malatya
tgcoonal,72,4.0,6,8,si̇nop
berca,102,5.0,10,8,
Nazli_Kopruluoglu,117,13.0,15,4,kocaeli̇
Begum_Uzrek,102,19.0,18,9,edirne
gokceQomer,113,74.0,59,38,malatya
kocyigiitzeynep,90,8.0,211,48,i̇stanbul
Hacer_Atmaca,92,26.0,279,0,erzurum
AynurSeyhmus_Kaya,131,354.0,2886,0,i̇zmi̇r
fatmafae,79,15.0,16,9,
chefseda,114,16.0,21,25,
ayseadakaraca,67,19.0,54,11,
sedaseen,72,69.0,76,7,i̇stanbul
efsanebahar,72,64.0,82,3,ankara
birmelekannesi123,64,2.0,6,6,
EfsaBeray_Gndy,64,1.0,0,0,
TCAysun_Dusmez,124,38.0,54,0,i̇stanbul
sunabaysal,81,35.0,127,114,kayseri̇
cafe-seyir,77,2.0,4,2,ri̇ze
ensrzynp,77,216.0,3944,26,si̇vas
mervegurbuzzc,65,43.0,228,2,hatay
SalmanCennet_Sayici,92,3.0,13,18,
mutfakbenimisim,66,14.0,10,1,muğla
Huriye_Polat,122,39.0,26,1,mani̇sa
Parilti_Inci,115,258.0,524,38,
annesininkuzusu2145,89,109.0,215,44,di̇yarbakir
hamzaninannesi37,83,4.0,4,9,i̇stanbul
Ezgi_OzdarcinVerep,101,7.0,12,6,
zeynepin-lezzetleri,68,42.0,125,52,ankara
tasozdemirtugba,85,43.0,43,7,mersi̇n
mehay,137,10.0,9,4,
Hayat_Gecer,80,29.0,59,80,mersi̇n
Emine_MeralSert,96,17.0,36,9,i̇stanbul
Busra_Yaksi,125,5.0,9,3,şanliurfa
didemergune,90,147.0,221,10,i̇stanbul
eminecan35,75,127.0,149,17,i̇zmi̇r
Kostebek77,131,105.0,425,4,isparta
ilmuseninbisirdikleri,68,29.0,144,16,yurtdişi
erbashatce,75,11.0,50,120,muğla
benimsofram,119,52.0,96,22,kahramanmaraş
naahiidee,84,93.0,57,25,
rumeryem,118,58.0,89,45,van
Seda_Balikci,113,32.0,31,37,i̇stanbul
cencis,115,111.0,236,0,adiyaman
dygokdemir,75,29.0,20,1,ankara
efebelinayy,71,4.0,11,8,antalya
Sibel_Tamam,67,17.0,86,171,i̇stanbul
Munevver_Yilmaz,125,534.0,8895,78,i̇stanbul
Guler_Dogan7,77,17.0,55,42,ri̇ze
eda46aslan,68,1.0,18,54,kahramanmaraş
yasemin0504,114,96.0,207,27,
Serap_KarabulutKarakelle,100,17.0,52,83,i̇stanbul
Hilal_Oflaz2,69,32.0,182,69,samsun
mervezengn,69,8.0,12,9,di̇yarbakir
emineunsal5785,67,4.0,17,5,bursa
Melek_OzglsSade,125,3.0,7,1,şanliurfa
leylasoylu,72,70.0,57,31,
Yasemin_KaradavutSanli,119,1.0,6,12,kirikkale
artniyetlii,133,46.0,54,12,i̇stanbul
nurannlezzetleri,69,13.0,21,38,i̇stanbul
tuba0244,68,14.0,24,30,
kubragocer00,93,5.0,13,11,i̇zmi̇r
RecepMeynise_Civciv,73,77.0,35,7,konya
ayse08800,102,35.0,60,14,artvi̇n
Buse-A,110,14.0,10,5,si̇nop
sebep,116,220.0,1913,265,yurtdişi
HazalFelat_ArtKya,105,30.0,90,129,i̇zmi̇r
aysekose3458,68,6.0,15,27,
Zeynep_Erbaba,81,26.0,16,3,mani̇sa
maviboncukk,122,130.0,282,20,i̇stanbul
muhis,72,10.0,17,24,mersi̇n
Duygu_Koray,108,158.0,134,86,i̇zmi̇r
Busra_Kocar2,102,2.0,2,9,i̇stanbul
Gizem_Isbilir,93,27.0,19,3,adana
Selva_CanbayKaratekin,101,83.0,90,29,
Nehir_Kara5,83,6.0,13,11,antalya
Beste_Ozcan,107,71.0,130,56,van
eliminlezzetinden,73,30.0,29,36,kahramanmaraş
aryamm,88,6.0,2,6,
ulusoyfatma,109,10.0,12,7,ni̇ğde
Senem_GezginKarali,136,61.0,54,17,ankara
Senay_Sefer,122,51.0,58,2,uşak
Ozlem_Savkili,108,16.0,25,23,kahramanmaraş
Gizem_Arat3,91,64.0,50,3,şanliurfa
Cigdem-Durmus,113,4.0,10,8,
yaseminkeles1,75,77.0,86,1,deni̇zli̇
burcucerit,79,29.0,58,28,i̇stanbul
Gamze_Gizem2,106,26.0,15,0,i̇stanbul
tugba-omer,104,16.0,21,22,ankara
ehiboreishotmail,92,78.0,732,575,konya
esracikler,118,20.0,24,18,i̇stanbul
yemekaski0,102,15.0,15,11,bursa
bugseda,126,16.0,22,5,ankara
TCAyla_Incearap,124,95.0,106,8,ankara
semualefsakar,90,21.0,89,126,kahramanmaraş
yaseminbeklevic,72,5.0,22,38,aksaray
sibelbozkurt,118,149.0,157,8,i̇stanbul
Pembe_Mutfagim,114,9.0,24,20,mardi̇n
havvanur68,72,48.0,43,64,aksaray
Sena_Nur31,75,4.0,12,23,i̇stanbul
neclakck,97,9.0,18,56,ankara
nurseda9831,68,37.0,82,65,tokat
hakimecaner,96,76.0,160,4,ankara
asena2506,97,21.0,11,2,kayseri̇
tubaaclkk,78,76.0,87,38,osmani̇ye
Emine_Batansu,117,16.0,22,18,şanlıurfa
merveninyemegi,78,10.0,18,20,
Anne_Yemek,79,37.0,374,4,antalya
Srpl_Erdem,110,117.0,59,11,van
eatmeal,119,34.0,43,9,isparta
fulimm,75,19.0,8,11,mani̇sa
Ibrahim_Nohutcu,89,6.0,5,2,konya
zeynebin-ellezzeti,69,9.0,19,25,ankara
leylabarbaroz,111,101.0,186,34,i̇stanbul
hmyra-61,84,33.0,19,6,trabzon
nisanur79,125,328.0,6961,47,
rabiagokhan,78,26.0,31,21,elaziğ
arefegurkan_0199,41,114.0,127,28,elaziğ
tazeegelinn,95,2.0,1,1,eski̇şehi̇r
Nazife_Gul,114,4.0,2,0,
aynuryaldiz_,38,2.0,7,4,mani̇sa
aysan06,95,14.0,13,3,
serapismail16,101,53.0,228,9,ankara
Al.Sa.76,46,3.0,2,22,yurtdişi
ertas50,56,8.0,12,1,nevşehi̇r
Nurten_Altun,116,69.0,201,196,adiyaman
Melek_Aydar,112,64.0,77,13,mani̇sa
eosahin44,126,284.0,450,304,ankara
efendy44,76,35.0,34,10,malatya
karadenizlininmutfagi,59,61.0,131,160,zonguldak
h1t2,70,41.0,28,0,kahramanmaraş
yasmin21,118,6.0,14,14,
atanurderinpinar,100,13.0,5,2,i̇stanbul
Mehtap_Ozturk6,120,10.0,9,1,
papatyaaahaniimm,80,16.0,39,27,adana
Seda_Hacisoftaoglu,58,34.0,34,38,
hulyanin-mutfagindan-2346,54,19.0,25,3,antalya
yudum,148,138.0,125,7,artvi̇n
kirmizikadin,75,7.0,9,9,mersi̇n
seherekin,76,21.0,137,208,di̇yarbakir
elifferremm,66,11.0,9,1,i̇stanbul
Burcu_Tuy,81,7.0,6,3,
yagmuryagmur,121,89.0,175,186,nevşehi̇r
sevgigoktas0,65,132.0,261,100,kirşehi̇r
ilkayyyyyyyy,74,265.0,918,17,osmani̇ye
yesim-50,59,4.0,1,0,nevşehi̇r
zeynmutfakta,78,13.0,14,5,
Fatos_Elmas2,105,21.0,21,9,
saryagulsen,62,11.0,181,1111,i̇stanbul
serifekostak,90,1.0,1,0,
omerim-44,101,108.0,99,41,malatya
Hilal_Yildirim,155,244.0,1847,39,antalya
minnurezel,66,4.0,13,1,i̇stanbul
Sevda_Bulut9,83,22.0,188,616,şanliurfa
aynur_,108,231.0,26328,36,gaziantep
balikesirliayse,103,106.0,280,26,yurtdişi
arzuemresumeyye,89,79.0,108,105,kayseri̇
rbs27,75,9.0,16,18,gazi̇antep
Ozlem_Satiroglu,111,20.0,15,0,trabzon
OzkanMine_Gokdeniz,111,11.0,4,1,muğla
Gamze_Baba,136,11.0,76,0,
antepmutfagi,119,70.0,586,23,yurtdişi
cerenazra,78,16.0,74,8,gazi̇antep
Melek_Yavuz17,89,13.0,19,0,
silkay,101,61.0,257,13,eski̇şehi̇r
bedriyeeeeeeeees,91,57.0,51,13,si̇vas
Esra_Hamamci,120,66.0,320,84,i̇stanbul
selviss,121,35.0,397,10,
Busra_Kuval,75,19.0,60,8,kayseri̇
zehraucar,121,22.0,41,5,
Zehra_KocCopur,73,19.0,30,19,kahramanmaraş
Dilan93,132,75.0,152,13,yurtdişi
eminecanany,75,13.0,22,10,
Rose_Moon2,91,1.0,0,0,
ursulaaa,80,46.0,39,8,kirşehi̇r
ayseguldogru2379,89,29.0,44,18,kayseri̇
Asli_Koc11,105,8.0,29,17,
Belgin_Babur,121,29.0,18,1,aksaray
serracatarifler,83,123.0,176,24,bursa
Gamze_AltuntasKaradas,106,10.0,6,3,
Figen_Guner2,111,53.0,127,41,mani̇sa
fatmaykut3878,100,3.0,13,23,kayseri̇
zeeliss,81,45.0,99,173,
Fatma_Asik3,115,34.0,80,99,kayseri̇
Perihan_Unal4,93,90.0,78,23,deni̇zli̇
Serpil_Erocak,135,21.0,44,17,yurtdişi
emirmeral,94,5.0,37,0,ankara
t4606,84,9.0,21,4,
Hulya_Deniz15,96,24.0,722,733,malatya
cigdemustnbs,15,7.0,5,0,i̇stanbul
Hatice_Yildirim122,94,3.0,3,2,
orly,92,9.0,21,15,i̇stanbul
tatlmutfagm,10,26.0,17,6,şanliurfa
Esra_Koc20,118,10.0,11,6,çanakkale
Derya_Caglar12,47,94.0,51,0,sakarya
Neslihan_Bayrakdar3,103,17.0,8,2,
bamsmutfak,6,10.0,6,0,ankara
aydileksaray_4592,35,24.0,36,3,
Sulekiraz,6,3.0,2,1,
nytuser_hilalozer_4355,22,7.0,10,7,di̇yarbakir
Nida_Akpinar2,64,3.0,5,0,mersi̇n
hln974,84,17.0,11,7,
Bedia_Cekic,138,236.0,1276,51,antalya
esra-esranur,60,10.0,3,0,
Halime_YasinUcan,124,196.0,389,24,i̇stanbul
huriye60,84,45.0,130,91,tokat
goog_73f43a729750,47,53.0,67,5,batman
_sevincfatmaakca_0973,28,34.0,45,2,
kdrycnsvn,60,38.0,64,0,i̇zmi̇r
bengu-turbeci-7727,47,2.0,4,4,gazi̇antep
Yozgatli_Umit2,96,209.0,201,2,yurtdişi
busra0438,96,114.0,94,37,ağri
Kubra_Soykatirci,101,10.0,16,3,kayseri̇
buyulu__lezzetler,61,8.0,8,0,bursa
goog_d528bb4d95a8,40,25.0,22,30,van
Isin_Soyleme,124,38.0,112,140,mersi̇n
aksakalemine,90,4.0,8,21,elaziğ
EVEG,119,225.0,384,0,
ftmcnk,68,25.0,53,167,ankara
mutfaklopedi,43,49.0,200,10,artvi̇n
ftmnrdmrbs34,68,13.0,140,1,isparta
RaKaBe,125,7.0,23,32,
Tuncay_Yazici2,74,8.0,15,3,
yorta,89,3.0,1,0,
365gunmutfak,21,72.0,314,2,konya
nurcanpala,53,4.0,5,9,i̇stanbul
suheylakilinc,90,4.0,10,10,
fatmamese80,54,21.0,10,0,
yagmurhergul4201,96,98.0,95,65,antalya
almina_72,14,4.0,1,0,
simartan_tatlar,34,52.0,304,69,antalya
nytuser_kudretalkan_0113,27,26.0,23,1,bursa
GamzeGoksu_Guder,112,4.0,4,0,
gunesakman23,61,14.0,19,48,
Eserailesi,31,35.0,38,30,bi̇leci̇k
TugbaSerhatEge_Becerik,79,60.0,96,80,çanakkale
yasemincandogan,96,10.0,12,4,
semraninmutfagi81,26,38.0,88,8,yurtdişi
HerdemMutfak,17,20.0,13,4,i̇stanbul
nytuser_sumeyraozaydin_9465,48,4.0,2,5,adana
busrasg,133,65.0,53,6,ankara
elfnrbek,29,32.0,64,56,ankara
hulyasaygili,52,34.0,82,5,
keskinsare,99,21.0,332,30,ankara
nytuser_dilekerkaya_1004,20,33.0,148,5,kayseri̇
gulsenekin42,118,67.0,114,2,konya
Busra_Balasaar,87,5.0,4,0,konya
nytuser_haticekocaoglu_0138,26,11.0,8,3,kayseri̇
hataysss_9379,19,5.0,2,0,hatay
selma_tutuncu1484,31,15.0,29,51,konya
nazomutfakta,20,47.0,70,6,ankara
feslegenmutfak0,99,94.0,2797,8,konya
perihan_celik1389,31,6.0,7,1,
sirinmutfak_,23,34.0,111,0,i̇stanbul
sevvalalhan,79,3.0,1,4,
goog_e6e965fb587e,38,12.0,5,3,
nytuser_havindogan_7718,21,6.0,4,1,mardi̇n
gozdiss,84,18.0,52,18,
nytuser_arzukaplan_2012,23,4.0,6,1,di̇yarbakir
nurgultezel_3175,31,19.0,15,2,i̇zmi̇r
zypyz,92,4.0,6,4,ankara
duru_5355,28,8.0,1,0,i̇stanbul
senay_konuk5485,29,52.0,48,0,i̇stanbul
Selin_Karakus,106,8.0,4,0,ankara
nalan-0014,49,1.0,1,17,balikesi̇r
nena2554,100,150.0,169,24,i̇stanbul
nytuser_mustafacantuay_2014,24,14.0,46,5,i̇stanbul
ceyyil,64,107.0,90,3,i̇stanbul
srnhkn9,73,7.0,1,0,
masivamum,61,10.0,12,22,van
nytuser_fatimeyesilyapra_5508,27,1.0,2,3,di̇yarbakir
alimurat,136,106.0,263,280,gazi̇antep
goog_4a021101a087,45,1.0,1,2,ri̇ze
nytuser_sumeyyeuzen_0562,24,27.0,45,3,ni̇ğde
ytr-2440,52,53.0,52,8,gazi̇antep
ayla-kale-3913,48,120.0,179,40,yurtdişi
sedasendemirtas,63,15.0,14,25,bursa
HANIFEAYALP,113,9.0,14,6,edi̇rne
nytuser_mukerremgundogdu_0687,24,2.0,11,36,
Nihal_Akkul,123,33.0,23,42,
dderya43,120,23.0,19,7,kütahya
nytuser_esrakilic_3724,26,2.0,1,1,
tarifcomm,52,20.0,48,17,ankara
nytuser_elifruzgar_1180,25,23.0,8,0,batman
nytuser_zuleyhakoksal_0068,29,45.0,216,1,ankara
kubradrgn,56,28.0,39,26,di̇yarbakir
nhnpyrz06gmail-com,54,5.0,4,8,ankara
nurnurnurbanu,61,82.0,67,0,i̇zmi̇r
Huseyin-Gulcan_Kizilkaya,126,307.0,1241,17,i̇stanbul
Ezo_Ozturk,126,51.0,27,4,
mutlugunlugum,25,6.0,15,1,i̇stanbul
nihalalkaya_2780,29,33.0,36,158,i̇stanbul
speedyandcrazy,64,59.0,59,60,
goog_6715097d9d03,37,17.0,37,7,batman
Fatma_OnalTacal,147,249.0,7503,22,gi̇resun
Mustafa_Senturk4,115,116.0,124,34,bi̇leci̇k
selinag,85,1.0,1,1,i̇stanbul
goog_58e65325c9cf,31,4.0,8,4,malatya
goog_ded13d3a525d,39,13.0,32,23,nevşehi̇r
dilay-senatam-16,52,17.0,23,22,bursa
Berf26,112,389.0,607,6,eski̇şehi̇r
minekurt_2325,29,12.0,46,15,kahramanmaraş
muhammed477,67,43.0,51,13,mardi̇n
mutfaginkralices_4729,30,66.0,60,64,teki̇rdağ
ikizannesi7272,52,14.0,19,15,batman
Huru_Kaya,91,26.0,39,29,hatay
gizemsarica2382,78,215.0,334,653,i̇stanbul
canselerkal_0854,30,2.0,0,2,
nergis-nisan2004,92,23.0,74,36,yurtdişi
dileksapci9627,98,60.0,149,224,afyon
hkn6625,84,9.0,20,56,ankara
airfryerlitarifler,31,19.0,1830,0,
vincenttt,31,1.0,1,1,yurtdişi (fransa)
melekozlu_3372,32,39.0,22,7,kocaeli
hayatmutfagim,72,47.0,141,5,
Gul_Kocak4,118,52.0,45,37,i̇zmi̇r
HazalKeskinersoy,32,66.0,59,7,muğla
kubrardc,45,4.0,4,9,
sukranmutfaktaa,32,10.0,6,4,
Gulay_CakirKilichan,131,9.0,32,39,
Tubaoral55,40,51.0,29,9,samsun
H--F,119,81.0,193,68,i̇stanbul
cansukaplandogan,53,10.0,7,16,ankara
kbrakpsz96,91,11.0,7,8,i̇zmi̇r
osmy6145,54,5.0,0,0,
mavidemlik,54,23.0,44,2,
zeynepkaleli3453,60,327.0,1892,63,i̇stanbul
Sezai_Duyar,90,7.0,36,98,zonguldak
goog_65ae6218ac54,43,103.0,310,236,yurtdişi
tubaelifyildirim,73,14.0,16,12,
baharyagiz_0383,40,24.0,91,116,batman
busraakurt_,41,97.0,130,2,ankara
hatic1e23,83,232.0,88,8,kütahya
TCElif_Enyuce,137,224.0,1212,42,balikesi̇r
Marifetli_Ellerim,35,61.0,232,8,konya
Gozde_Celik24,41,4.0,1,1,çanakkale
Fatma_Calik,133,11.0,7,3,trabzon
Nesrin_Kefeli,64,8.0,3,1,
aysuniyidir_9198,33,2.0,0,0,
bugulumutfak,105,11.0,33,49,konya
BizeHerYer_Trabzon,142,47.0,102,101,kocaeli̇
rukiyed,95,3.0,3,7,i̇stanbul
aylin-bedir-kilic-6642,51,49.0,92,3,i̇stanbul
MedineDenir,49,5.0,5,9,
hasretg,75,12.0,11,12,nevşehi̇r
Ayten_Topcu4,75,161.0,1613,23,
merveee_,33,3.0,6,1,
cholette,66,3.0,2,0,
balaazanpa,37,142.0,112,75,
Tugba_Gurelli,79,41.0,112,44,i̇stanbul
bereneylul,55,6.0,10,0,ankara
canannn21151,112,146.0,99,29,mersi̇n
hacer-akdogan-9938,51,11.0,93,375,
Mutfaktaki_Sevgi,34,11.0,7,3,
kader4447,86,50.0,36,13,niğde
gizemvural25,37,4.0,0,5,ankara
goog_2800e36af493,34,2.0,1,0,i̇zmi̇r
Aycan_Koymen,123,21.0,33,17,
Nazlican_Ugurlu,101,4.0,13,36,ankara
BurcuAlperMete_Has,114,5.0,16,0,ankara
canselt,120,70.0,163,0,i̇stanbul
Elif_Basar3,103,29.0,68,8,ankara
ilahiyat,138,5.0,2,0,
nefisyemekdunyasi6967,47,4.0,7,0,
sumeyyetutuncu,125,47.0,70,17,tokat
Duygu_SukurDonmez,92,16.0,23,3,
ilknurrg,87,3.0,1,4,batman
gunerli,77,39.0,148,132,kocaeli̇
elinde_marifet_sofranda_ziafet,44,9.0,10,6,
emine_t,106,6.0,15,25,i̇stanbul
berrinozmennnn,52,42.0,48,10,
mutfaktakikimyager,81,192.0,1979,1,
busramazan44,53,1.0,4,11,
Seyda_Kaygi,146,945.0,12556,39,
blogistanslan,49,6.0,5,2,
Efnan-nur,110,149.0,145,22,i̇stanbul
selmakrbg,103,2.0,0,2,
haduko,77,152.0,175,8,i̇stanbul
Busra_BolukbasiKocak,56,4.0,4,0,yozgat
Utku_Sokmen,140,33.0,217,5,hatay
es808,78,3.0,58,134,kayseri̇
hilall25,66,79.0,245,1,i̇zmi̇r
haticekzdl,92,31.0,27,1,
Habibe_Buken,63,20.0,39,6,ankara
cafe.mercimek,133,87.0,1146,36,
seheringunlugu,59,23.0,49,28,
TC_Sonmez,64,94.0,167,2,adana
TCHulya_AkhisarSerinkan,120,18.0,84,33,kocaeli̇
ketenhelva,147,21.0,18,0,si̇vas
Ayse_Aktas12,122,14.0,14,1,i̇stanbul
merve0101,132,17.0,96,170,osmani̇ye
zyuzgec,128,20.0,27,12,i̇stanbul
karaca3467,59,21.0,95,200,i̇stanbul
Merve_Cakmak29,96,5.0,9,13,kocaeli̇
isilisil59,80,2.0,2,4,
aytenishak30,68,26.0,16,15,isparta
Neriman_Neriman10,68,7.0,19,47,i̇stanbul
zuhalinmutfagi,61,91.0,143,22,i̇stanbul
hilalbalki,112,294.0,2022,17,i̇stanbul
Yasemin_Atasu,95,72.0,70,12,ordu
elfylmz1218,66,111.0,116,16,malatya
sosyolog006,62,69.0,35,10,i̇zmi̇r
mellbs,81,12.0,145,290,
Dilan_Kaya8,112,130.0,668,14,i̇stanbul
hazalesin,124,1.0,2,8,i̇stanbul
tbrs,92,28.0,26,33,
sultansuuu,72,2.0,1,3,
pastaborekyemekyemek,106,1.0,11,10,i̇stanbul
zisanalaaddin,112,1.0,7,11,kahramanmaraş
emirkayra,115,18.0,26,23,i̇stanbul
denizin_lezzet_deryasi,63,18.0,23,17,i̇zmi̇r
Sahra_Enya,76,2.0,5,7,i̇stanbul
ynsbl,85,10.0,7,2,hatay
sibel-eymen,124,8.0,131,8,
3d,111,33.0,30,2,ankara
goog_67984655c096,33,16.0,11,12,adana
goog_dbe2ebe8fcc4,37,37.0,64,15,mersi̇n
esrarengiz1334,128,108.0,252,32,i̇stanbul
GulcinGunduZ,41,10.0,28,37,i̇zmi̇r
meralkuyunat4610,92,70.0,61,11,si̇vas
songulbydrr21,103,13.0,79,197,ankara
GuvenAsli_Alankaya,119,27.0,7,1,yurtdişi
Yagsu08,118,66.0,50,12,ankara
Nagihan_Coskun,124,60.0,384,1,ankara
tuzlu-eksi,116,3.0,6,6,
melektok,116,158.0,792,267,hatay
Fatma_Onem,139,133.0,820,1,i̇zmi̇r
Nagehan_Aydin,138,186.0,409,31,
Murat_Oruc,123,8.0,11,16,
ilkaylax,126,26.0,23,15,
azrayevski,123,92.0,184,3,yurtdişi
a75b31,119,8.0,15,4,
EvrimAleyna_Carpar,124,11.0,10,11,
ahuelifyigithakan,120,4.0,4,0,
Nil_Ulku,61,18.0,14,13,ni̇ğde
denizyagmurbalik,22,22.0,205,1124,kirklareli̇
ilkaykuru,65,1.0,3,0,
kadir1nan,46,138.0,365,0,trabzon
hilals_kitchen,20,6.0,0,0,i̇stanbul
nytuser_zeynepunal_1709,23,4.0,2,0,i̇stanbul
Sinemtasdan,89,20.0,15,15,i̇stanbul
serenaybayram,62,10.0,15,4,
nytuser_merveakin_3699,52,39.0,37,5,konya
fatiik,62,1.0,0,0,
sercook,81,26.0,863,0,
beyzasimsekler2311,82,19.0,17,0,konya
HaticeKubraNur_Yildiz,90,3.0,1,1,ankara
hayalkmrr,42,8.0,5,10,
Sedaciftci,113,110.0,55,9,i̇stanbul
Seyma_Gerede,92,33.0,50,3,sakarya
elbayer,62,8.0,2,0,
hanzadenin-mutfagi,52,30.0,13,13,
Nidadanlezzetler,40,33.0,11,0,gazi̇antep
Ayse_Kilbas,108,12.0,12,0,di̇yarbakir
sinem2015,121,103.0,434,12,ankara
ecederinyol,41,19.0,9,0,
fatosben,43,32.0,3046,10,kayseri̇
nb7590,67,17.0,25,18,
Elif_Algin,118,70.0,647,2,kocaeli̇
IceDream-ic,131,9.0,30,31,
Nursen_Mert2,66,22.0,60,285,ordu
nytuser_sedanurturan_2572,54,2.0,6,3,bursa
tznme,81,3.0,7,9,ankara
Buket_Yazici2,104,90.0,62,7,i̇stanbul
leziz-mutfak-6523,43,4.0,3,5,
zeynep-ceyin-3683,50,4.0,4,0,i̇zmi̇r
ElifCumali_Aydin,107,62.0,36,5,bursa
TCMerve_TuranDambasan,133,61.0,88,221,eski̇şehi̇r
nyznsml,97,6.0,2,8,
Zehra_Birinci,119,356.0,1990,43,i̇stanbul
lezzetlimutfaklar,62,49.0,607,1833,çankiri
Mehmet_Solmaz5,71,4.0,0,0,
goog_84ee2e6c79e2,48,2.0,5,6,
kezban1958hotmail.com,137,83.0,216,179,gazi̇antep
burcuyarali,115,28.0,150,5,i̇stanbul
ozge-siyahli,101,136.0,850,17,çanakkale
Sumeyye_GunDogann,96,29.0,36,71,kastamonu
busramutlu8251,83,11.0,19,21,antalya
ecem.yilmaz,52,10.0,6,3,i̇stanbul
petunya_mutfagimmm,45,3.0,0,0,
bahar-yagiz-4720,50,20.0,132,176,batman
zohretopcu1439,61,4.0,0,3,
qing,123,20.0,475,0,afyon
zeynepzarif,126,12.0,11,8,
leylabaysal1658,63,1.0,3,2,van
haticeden,114,68.0,135,33,yurtdişi
yemek.lutfen,49,35.0,1655,9,
helinkarasar3108,56,10.0,2,1,
bengulkizilay4561,67,18.0,52,36,ankara
Eloffff,48,4.0,6,2,antalya
lnaschannel,61,74.0,395,10,
melisius,142,60.0,83,6,samsun
bonappetitchef,60,57.0,839,33,
yesim.mutfakta,49,42.0,72,5,i̇stanbul
nursenema,70,5.0,6,10,aksaray
seymapeker,90,313.0,4063,11,kocaeli̇
Merve_Dolu,68,3.0,9,10,elaziğ
CetinGulnur_Ince,63,41.0,29,4,yurtdişi
esra1917,80,88.0,72,45,çanakkale
Sehri_Can,125,16.0,13,13,bi̇leci̇k
esra-tnrvr,60,44.0,63,2,mani̇sa
sadecemre,123,14.0,22,1,
hikmetkinas,131,23.0,33,8,kayseri̇
Sirvan_Yildiz2,85,26.0,97,6,yurtdişi
DenizCisem1919,125,379.0,671,3,amasya
tuba5352,49,1.0,2,2,kirklareli̇
rahmeelii,87,17.0,16,4,şanliurfa
arpaunlutarifler,53,3.0,24,4,bartin
Seymaeseen,119,4.0,2,1,i̇stanbul
Hzy_Yuce,62,12.0,17,16,bi̇leci̇k
nanimutfakta,58,43.0,34,24,
yemekkkdunyammm,58,189.0,235,7,sakarya
goog_400e7ef4d46e,50,11.0,7,2,i̇zmi̇r
eliifcifci,51,2.0,20,120,i̇stanbul
guldengul,125,11.0,16,14,
Hande_Demir12,51,69.0,106,2,teki̇rdağ
esin-gencer-4241,51,8.0,10,15,
berenaydogmus,55,2.0,3,2,
umrannnnnnnnn,82,63.0,124,129,kahramanmaraş
fulyaakbay4679,87,40.0,69,2,i̇stanbul
cheflezzet,105,470.0,7946,40,kahramanmaraş
hatice-rabis-8311,52,2.0,2,2,trabzon
miskokulutarifler,52,31.0,73,17,
Sema_Aksoy15,72,3.0,6,7,i̇stanbul
zehirzemberek,93,14.0,14,12,
rukiyekrkyl,95,85.0,171,122,mardi̇n
eda-nurun-mutfagi-6834,53,9.0,22,13,kirşehi̇r
zafer585858,61,73.0,115,8,si̇vas
merve-vuslat-6950,53,4.0,10,2,
cerenuslu,54,18.0,1667,4625,kocaeli̇
edassert,53,7.0,9,5,
Sevda_Demirel5,115,210.0,1337,153,yurtdişi
ufaktefektatliliklar,126,33.0,24,1,i̇stanbul
zeze02,69,58.0,60,16,eski̇şehi̇r
ismihanduman,119,107.0,124,23,i̇stanbul
muleykeyuksel,121,69.0,129,5,i̇stanbul
zeynepfidan131,59,16.0,14,0,çanakkale
zahideninlezzetleri,54,15.0,42,67,i̇stanbul
ertanmelek,54,11.0,14,16,kahramanmaraş
diyetisyensifaakinci,54,22.0,131,14,
gunssuu,60,2.0,2,0,
Yesim_Uygun,124,33.0,39,0,yalova
aueceyar,56,37.0,110,158,yurtdişi
Sevda_Tut2,93,163.0,107,15,ordu
daca-5433,55,12.0,66,7,i̇stanbul
fatmakilic25,63,21.0,113,15,erzurum
rmysbykl,66,18.0,23,17,i̇stanbul
Beyza_Parilti2,61,10.0,29,4,deni̇zli̇
nisaninmutfagii,55,17.0,27,12,
tugcebaytan,101,52.0,52,25,ankara
Gulsah_Cinar5,113,19.0,13,1,kocaeli̇
ecem0606,65,51.0,168,165,si̇i̇rt
elifayseaa,55,2.0,0,0,
asli1010,64,65.0,55,16,
AyseNurr42,121,76.0,186,42,
SukruNurdan_Yilmaz,90,1.0,12,37,kütahya
mgrdl,74,11.0,12,6,
esraparmaksiz,79,6.0,7,4,antalya
ozininmutfagi,137,322.0,714,15,samsun
Burcu_Keretmitcioglu,57,52.0,27,5,i̇zmi̇r
merveertas,74,154.0,424,417,bayburt
Dilek_Tunc,136,6.0,8,9,adana
Cigdem_Caylak,127,88.0,163,16,balikesi̇r
cnsldnz,76,111.0,455,8,samsun
nurhanersoz2356,56,208.0,1570,20,i̇zmi̇r
kbratufan,56,4.0,0,2,
xnerminxq,63,6.0,8,11,konya
zehratanriverdi,87,54.0,32,8,
gulayko,123,80.0,83,29,i̇stanbul
gozdeadamira,85,52.0,69,16,edi̇rne
Papatya_Karadede,115,107.0,335,26,i̇stanbul
KaderYusuf_Cakil,126,42.0,154,12,
