profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
lezzeti_parem,21,56.0,135,0,ri̇ze
goog_a5df580fcb35,38,3.0,1,0,
betyavie,22,6.0,1,1,kastamonu
Kubraa_Kcby,101,4.0,4,6,
Aysenur_Kurucay,102,497.0,3235,11,erzi̇ncan
Fulya_EfeOzusaglam,115,76.0,94,54,adana
nytuser_esraarasbinbay_9606,24,40.0,107,19,yurtdişi
Ipek_PacaciOzcelik,138,103.0,141,35,i̇stanbul
EmineBltl_Yildirim,68,98.0,154,17,kütahya
nytuser_yaseminyakici_7091,26,24.0,16,0,afyon
Simge_Kecici,76,3.0,2,1,çanakkale
hacer-9640,45,9.0,10,11,elaziğ
Mina_DurmusDogan,74,7.0,12,13,
goog_b875c517d972,40,343.0,319,10,i̇stanbul
hilalcelik07,68,60.0,53,5,antalya
APPLE_000877.dc84482cb67e4f61970848f20fbb12db.0754,47,126.0,174,6,i̇stanbul
esraakkan,51,33.0,583,3217,kütahya
SeyMa_KaYa28,100,46.0,70,10,balikesi̇r
nytuser_yasoeco_7617,26,2.0,1,0,adana
SuPerisininMutfagi,43,159.0,486,2,i̇stanbul
nytuser_gulbaharbilen_1970,26,35.0,45,14,mersi̇n
seherblms_6307,26,82.0,83,6,şanliurfa
hanifesmsk,62,157.0,151,16,samsun
neslihanskitchen,67,153.0,671,5,yurtdişi (almanya)
handanmiray,90,14.0,37,1,i̇stanbul
nytuser_zeynepsavan_6345,28,16.0,28,3,malatya
semraikiz9461,98,5.0,5,0,i̇zmi̇r
Ayten_InciAslan,127,64.0,88,1,i̇zmi̇r
DuyguSarigul,112,117.0,153,18,i̇stanbul
Zemzem_Macit,121,1516.0,7754,1,kocaeli̇
haticennc,27,1.0,10,8,ni̇ğde
filizce-tarifler,94,456.0,553,55,yurtdişi
sedaogretmen,119,20.0,35,0,kastamonu
selverbyz,78,115.0,96,37,hatay
nesesuzer,60,26.0,20,1,
FoodQueenArts,33,188.0,580,0,yurt dışı (almanya)
Asli_Bicakcioglu,114,86.0,83,105,bursa
YusufEmre_Deniz,115,1065.0,704,6,batman
Esmasskitchen,113,298.0,1491,14,yurt dışı (almanya)
FatmaArikann,49,24.0,40,48,yurtdişi
papakerturut,28,1.0,6,3,
Ceren_Pirgun,126,28.0,36,11,yurtdişi
gokcedemir35,30,21.0,95,3,yurtdişi
mertinmutfagi,29,12.0,7,1,i̇stanbul
esmaramazan,113,95.0,1503,19,i̇stanbul
Sema_Kozan3,73,831.0,2622,887,ankara
Selda_Aslan12,55,145.0,647,0,yurtdişi
Cazimu,52,150.0,174,16,mardi̇n
fadimeer,73,8.0,19,2,ankara
nytuser_selinarslan_1750,46,4.0,2,0,
Sedanuris,33,18.0,15,11,yurtdişi
arzuaksakal7,37,92.0,1499,7,kahramanmaraş
goog_554ea1ee7b32,33,1.0,0,0,
havva-cinar-8034,44,57.0,113,45,
beyzamelistunc,53,9.0,4,0,elaziğ
gamzeaktemur_5710,40,227.0,1319,0,yurtdişi
sevdabideci,31,7.0,10,1,i̇stanbul
ZehraKara,131,89.0,142,0,
ayaz-g-zl-m,114,56.0,66,21,çanakkale
sozumkendime,73,81.0,90,2,i̇stanbul
derya-hocanin-tarifleri-1241,48,7.0,3,2,
yaseminsamasti_2001,38,11.0,4,3,
goog_119430f3d8f2,33,7.0,3,1,
haticedemircan_7973,33,169.0,292,12,adana
Leyla_AkculCincik,112,308.0,434,5,mersi̇n
bizimmuttfakk,32,84.0,92,1,antalya
ekmeksizyemek,34,104.0,380,6,
hulyanaymann,33,13.0,32,0,
Busra_Sezer,133,1.0,1,9,şanliurfa
ayse-kilic-1807,52,6.0,13,21,i̇zmi̇r
ygmrgms,61,55.0,64,12,i̇stanbul
mutfaktaacitatli,109,105.0,172,0,yurt dışı (fransa)
egemenannesi,93,42.0,104,9,i̇zmi̇r
OguzhanOzlem_Kuru,110,421.0,941,4,yurtdişi
19941997gr,103,33.0,87,103,van
cancalay,125,10.0,11,4,çorum
goog_1046568ea902,43,195.0,1101,4562,aksaray
roseskitchen,40,172.0,1139,22,yurtdişi
goog_7f8dcfb6beb4,46,41.0,47,56,i̇stanbul
kuzeymurat,109,28.0,48,2,ankara
Blny_Bzkyn,49,83.0,152,9,ankara
semihakkas,88,415.0,951,29,i̇stanbul
deryaozturk2535,55,179.0,196,0,
Busra_Bas16,66,219.0,433,152,antalya
goog_a9ba92f12e96,44,2.0,4,2,
gizem1090,54,39.0,28,7,
arzugnlol,36,7.0,1,0,
aysenuratesyildiz_9327,40,243.0,112,10,yurtdişi
nurcinakar,44,205.0,435,16,bursa
goog_5ae1440b33c6,38,12.0,34,12,şanliurfa
ballitatifler,37,6.0,21,23,gazi̇antep
busragulerrr,116,326.0,8527,7,gazi̇antep
Gozde_Yener,125,67.0,112,24,bursa
miyasss,109,31.0,24,23,ankara
pinarinmutlumutfagi,96,119.0,247,8,kocaeli̇
meralkoc1231,79,46.0,91,23,hatay
Nida_Karatas3,71,7.0,13,5,kayseri̇
goog_b87664212e75,37,5.0,13,7,erzi̇ncan
Busra_Dogukut,105,12.0,7,10,bolu
kbramehmedoglu1,39,168.0,93,6,gazi̇antep
nuranklnc1,62,9.0,14,5,hatay
gulhazal,66,4.0,1,1,
meryem-demir-6307,51,7.0,11,14,
Gizem_Turkmen5,39,9.0,6,3,di̇yarbakir
Hayriye_Karaca,143,80.0,173,39,
uzumcugulsum,60,33.0,23,2,gazi̇antep
selimegor_53,42,451.0,2743,28,ri̇ze
zehradilek_3826,39,56.0,38,29,van
