kategori_id,tarif_adi,tarif_url,profil_adi
3,Öksürük Çayı (+10),https://www.nefisyemektarifleri.com/oksuruk-cayi-10/,hnferva
3,Bebeğimin Elma Kompostosu,https://www.nefisyemektarifleri.com/bebegimin-elma-kompostosu/,duyguukkocc
3,Öksürüğü Kesen Çay,https://www.nefisyemektarifleri.com/oksurugu-kesen-cay/,zzeynepakalin
3,Bebeklerin Öksürüğüne Çare️,https://www.nefisyemektarifleri.com/bebeklerin-oksurugune-care%ef%b8%8f/,zeynep_calisir
3,Çocuklarda Öksürük Kesen Doğal Karışım,https://www.nefisyemektarifleri.com/cocuklarda-oksuruk-kesen-dogal-karisim/,aysegulkeskinn
3,Kakaolu Süt,https://www.nefisyemektarifleri.com/kakaolu-sut-6436946/,rabiauslu1998
3,Bebe Smoothie +8ay,https://www.nefisyemektarifleri.com/bebe-smoothie-8ay/,kayafrd
3,Kabız Bebe Çayı +7 Ay,https://www.nefisyemektarifleri.com/kabiz-bebe-cayi-7-ay/,kayafrd
3,Bebe Meyve Çayı (+7 Ay),https://www.nefisyemektarifleri.com/bebe-meyve-cayi/,kayafrd
3,Bebekler İçin Öksürük Kesici (6+),https://www.nefisyemektarifleri.com/bebekler-icin-oksuruk-kesici-6/,eymen56
3,Bebekler İçin Öksürük Çayı (6+),https://www.nefisyemektarifleri.com/bebekler-icin-oksuruk-cayi-6/,eymen56
3,Erik Suyu (+5),https://www.nefisyemektarifleri.com/erik-suyu-5/,lasdfgh
3,Mürdüm Eriği Suyu,https://www.nefisyemektarifleri.com/murdum-erigi-suyu-5389916/,bebegiminyemekleriii
3,İshal İçin Limonlu Su,https://www.nefisyemektarifleri.com/ishal-icin-limonlu-su/,bebegiminyemekleriii
3,Bebekler İçin Nar Suyu,https://www.nefisyemektarifleri.com/bebekler-icin-nar-suyu/,mvisytncetobaskann
3,Kayısı Marmelatlı Çay,https://www.nefisyemektarifleri.com/kayisi-marmelatli-cay/,ndrmrncnr
3,Kuşburnu Çayı,https://www.nefisyemektarifleri.com/kusburnu-cayi-5169073/,ndrmrncnr
3,Balgam Ve Öksürük Çayı (+8ay),https://www.nefisyemektarifleri.com/balgam-ve-oksuruk-cayi-8ay/,yasemin_aktasari
3,Rahatlatıcı Diş Kürü,https://www.nefisyemektarifleri.com/rahatlatici-dis-kuru/,yasemin_aktasari
3,Balgam Söktürücü (+6 Ay),https://www.nefisyemektarifleri.com/balgam-sokturucu-6-ay/,gulistan-yavuz
3,Öksürük Ve Hırıltı İçin Elma Çayı (+12 Ay) (Yetişkinlerde Tüketebilir),https://www.nefisyemektarifleri.com/oksuruk-ve-hirilti-icin-elma-cayi-12-ay-yetiskinlerde-tuketebilir/,yasemin_aktasari
3,Ihlamurlu Erik Suyu,https://www.nefisyemektarifleri.com/ihlamurlu-erik-suyu/,bebegiminyemekleriii
3,Ev Yapımı Limonata (+12),https://www.nefisyemektarifleri.com/ev-yapimi-limonata-12/,yasemin_aktasari
4,Dana Kıymalı Kabak Çorbası,https://www.nefisyemektarifleri.com/dana-kiymali-kabak-corbasi/,elifyilmaz_7460
4,Yayla Çorbası ( Buğdaylı ),https://www.nefisyemektarifleri.com/yayla-corbasi-bugdayli-12019254/,nytuser_banuersan_3331
4,+6 Ay Bezelye Çorbası,https://www.nefisyemektarifleri.com/6-ay-bezelye-corbasi-12017856/,cigdemustnbs
4,Bebeklere Karışık Sebzeli Çorba,https://www.nefisyemektarifleri.com/bebeklere-karisik-sebzeli-corba/,eyildiz94_
4,Kapya Biber Çorbası ( 8 + Ay),https://www.nefisyemektarifleri.com/kapya-biber-corbasi-8-ay/,ozge1994
4,Pirinçli Ispanak (6+ Ay),https://www.nefisyemektarifleri.com/pirincli-ispanak-6-ay/,ozge1994
4,Kış Sebzeleri Çorbası,https://www.nefisyemektarifleri.com/kis-sebzeleri-corbasi-12011895/,ummu-tuncer-1461
4,Bebekler İçin Havuç Çorbası,https://www.nefisyemektarifleri.com/bebekler-icin-havuc-corbasi-12011778/,cigdemustnbs
4,Sebzeli Tavuk (8+ Ay),https://www.nefisyemektarifleri.com/sebzeli-tavuk-8-ay/,ozge1994
4,Havuçlu Çorba,https://www.nefisyemektarifleri.com/havuclu-corba-12003308/,harryer
4,Kereviz Çorbası (Süt Alerji Bebekler İçin ),https://www.nefisyemektarifleri.com/kereviz-corbasi-sut-alerji-bebekler-icin/,seyma_demir49
4,Sütlü Mısır Çorbası (12+ Ay),https://www.nefisyemektarifleri.com/sutlu-misir-corbasi-12-ay/,ozge1994
4,Tarhana Çorbası,https://www.nefisyemektarifleri.com/tarhana-corbasi-11993852/,fatmamervertenlice
4,Tarhana Çorbası (8+ Ay),https://www.nefisyemektarifleri.com/tarhana-corbasi-8-ay-11993691/,ozge1994
4,Bebek Doyurucu Çorba +11,https://www.nefisyemektarifleri.com/bebek-doyurucu-corba-11/,eyildiz94_
4,Unlu Sebze Çorbası (8+ Ay),https://www.nefisyemektarifleri.com/unlu-sebze-corbasi-8-ay/,ozge1994
4,Bebek Pırasa Çorbası,https://www.nefisyemektarifleri.com/bebek-pirasa-corbasi/,eyildiz94_
4,Havuç Çorbası (6+ay),https://www.nefisyemektarifleri.com/havuc-corbasi-6ay/,ozge1994
4,Ailecek İçilebilen Sütlü Brokoli Çorbası (Ben Bebeğim İçin Yaptım),https://www.nefisyemektarifleri.com/ailecek-icilebilen-sutlu-brokoli-corbasi-ben-bebegim-icin-yaptim/,nytuser_duyg
4,Bebek 4 Kaşık Çorbası,https://www.nefisyemektarifleri.com/bebek-4-kasik-corbasi/,eyildiz94_
4,Bebek Terbiyeli Bulgur Çorbası +8,https://www.nefisyemektarifleri.com/bebek-terbiyeli-bulgur-corbasi-8/,eyildiz94_
4,Etli Yoğurt Çorbası (Bebekler İçin),https://www.nefisyemektarifleri.com/etli-yogurt-corbasi-bebekler-icin/,ozge1994
4,+6 Ay Sebze Çorbası,https://www.nefisyemektarifleri.com/6-ay-sebze-corbasi/,fatmanurhao
5,Bebek Ekmeği (+ 6 Ay),https://www.nefisyemektarifleri.com/bebek-ekmegi-6-ay-10556635/,aysegul_dagli5
5,Bol Malzemos Bebek Pizza,https://www.nefisyemektarifleri.com/bol-malzemos-bebek-pizza/,eatmeal
5,Mısır Unlu Ekmek,https://www.nefisyemektarifleri.com/misir-unlu-ekmek-10410465/,pokitop35
5,Organik Bebek Ekmeği,https://www.nefisyemektarifleri.com/organik-bebek-ekmegi/,burcu_centeli
5,Bebişlere Pırasalı Mor Havuçlu Mini Ekmek/Galeta,https://www.nefisyemektarifleri.com/bebislere-pirasali-mor-havuclu-mini-ekmek-galeta/,dnzkerse
5,Tam Buğday Unlu Bebek Ekmeği,https://www.nefisyemektarifleri.com/tam-bugday-unlu-bebek-ekmegi-10303614/,yagmurmnsli
5,Bebek Ekmeği,https://www.nefisyemektarifleri.com/bebek-ekmegi-10285516/,seymakarablog
5,Yoğurmadan 7+Ay Bebeklere Ekmek Tarifi (Videolu),https://www.nefisyemektarifleri.com/yogurmadan-7ay-bebeklere-ekmek-tarifi-videolu/,tugceertugrul_ozkan
5,Bebekler İçin Yumuşacık Organik Ekmek,https://www.nefisyemektarifleri.com/bebekler-icin-yumusacik-organik-ekmek/,demet_kurnaz
5,Bebek Ekmeği (Peynir Altı Suyu İle),https://www.nefisyemektarifleri.com/bebek-ekmegi-peynir-alti-suyu-ile/,melikeeceyilmaz
5,Elmalı Cevizli Kek,https://www.nefisyemektarifleri.com/elmali-cevizli-kek-9812889/,buket_yazici2
5,Çavdarlı Bebek Ekmeği,https://www.nefisyemektarifleri.com/cavdarli-bebek-ekmegi/,buket_yazici2
5,Tam Buğday Ekmeği Siz Ve Bebeğiniz İçin,https://www.nefisyemektarifleri.com/tam-bugday-ekmegi-siz-ve-bebeginiz-icin/,semihakayaa
5,Mayasız Cevizli Tahinli Bebek Ekmeği,https://www.nefisyemektarifleri.com/mayasiz-cevizli-tahinli-bebek-ekmegi/,sadiyesel
5,Yumurta Yemeyen Bebeklere Yumartalı Ekmek,https://www.nefisyemektarifleri.com/yumurta-yemeyen-bebeklere-yumartali-ekmek/,cihan_kubratas
5,Ispanaklı Ekmek (+7 Ay),https://www.nefisyemektarifleri.com/ispanakli-ekmek-7-ay/,sadiyesel
5,Bebek Mücüver,https://www.nefisyemektarifleri.com/bebek-mucuver/,sadiyesel
5,Kahvaltılık Ekmek Sodalı +1,https://www.nefisyemektarifleri.com/kahvaltilik-ekmek-sodali-1/,iremkamass
5,Ruşeymli Bebek Ekmeği,https://www.nefisyemektarifleri.com/ruseymli-bebek-ekmegi/,sadiyesel
5,Bebek Keki +8,https://www.nefisyemektarifleri.com/bebek-keki-8-9285536/,nesrin-kizilarslan-kosun-0583
5,Bebek Ekmeği,https://www.nefisyemektarifleri.com/bebek-ekmegi-9195625/,esra_yilmazada
5,Bebek Keki +7,https://www.nefisyemektarifleri.com/bebek-keki-7-9098212/,sinem_sarptanriover
5,Havuçlu Tarçınlı Kek +1 Yaş,https://www.nefisyemektarifleri.com/havuclu-tarcinli-kek-1-yas/,senem_oral
