kategori_id,ana_kategori,alt_kategori,kategori_url,sayfa_sayisi
58,tatli,helva-tatli,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/helva-tarifleri-tatli-tarifleri,400
59,tatli,kek,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/kek-tarifleri,2923
60,tatli,komposto,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/komposto-tarifleri,32
61,tatli,lokum,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/lokum-tarifleri,120
62,tatli,meyveli-tatlilar,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/meyveli-tatlilar,480
63,tatli,pasta,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/pasta-tarifleri,2156
64,tatli,serbetli-tatlilar,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/serbetli-tatlilar,1472
65,tatli,sutlu-tatlilar,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/sutlu-tatlilar,2221
66,tatli,tart,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/tart-tarifleri,296
67,corba,corba,https://www.nefisyemektarifleri.com/kategori/tarifler/corba-tarifleri,1687
68,aperatifler,aperatifler,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler,730
